cat1,cat2,cat3,nom,description,intitulé,prix_1,prix_2,prix_3
plats,Burgers,Bœuf,Pitchoun,"Steak 90g, cheddar, salade, ketchup",,"8,00 €",,
plats,Burgers,Bœuf,Classique,"Steak, cheddar, cornichons, tomates, sauce cocktail, salade",,"9,90 €",,
plats,Burgers,Bœuf,Forestier,"Steak, comté affiné, champignons, sauce poivre",,"12,50 €",,
plats,Burgers,Bœuf,Savoyard,"Steak, coppa, reblochon, salade, sauce poivre",,"13,00 €",,
plats,Burgers,Bœuf,Lombard,"Steak, gorgonzola, noix, salade, confit de figues",,"13,00 €",,
plats,Burgers,Bœuf,Chèvre,"Steak, chèvre, crème fraîche, thym, salade, miel",,"13,50 €",,
plats,Burgers,Bœuf,Rosbeef,"Viande de bœuf (langue de chat), champignons, comté affiné, confiture d’oignons maison",,"13,50 €",,
plats,Burgers,Bœuf,Xalapa,"Viande de bœuf (langue de chat), mozzarella, salade, sauce spéciale maison",,"13,50 €",,
plats,Burgers,Bœuf,Burrata,"Steak, mini burrata, tomates séchées, roquette, pesto",,"13,50 €",,
plats,Burgers,Bœuf,Oriental,"Steak, cheddar, aubergine, poivron, oignons, cumin, cornichons, tomates, salade, sauce samouraï",,"13,50 €",,
plats,Burgers,Bœuf,Auvergnat,"Steak, Saint-Nectaire, poitrine fumée, oignon rouge, sauce moutarde miel",,"13,50 €",,
plats,Burgers,Bœuf,Colombien,"Steak, feta, écrasé d’avocat, oignons, tomates, salade",,"14,00 €",,
plats,Burgers,Végétarien,Phénicien,"Falafel maison, cheddar, roquette, cornichons, tomates, salade, tzatziki maison",,"11,00 €",,
plats,Burgers,Végétarien,Veggie,"Galette de pommes de terre maison, aubergine, courgette, poivron, tomate, cheddar, cornichons, salade, sauce cocktail",,"11,00 €",,
plats,Burgers,Poulet,Chicken,"Poulet frit, gouda, cumin, cornichon, tomate, salade, sauce barbecue",,"12,00 €",,
plats,Burgers,Poulet,Héllène,"Filet de poulet citronné, roquette, cornichons, curcuma, tomates, salade, tzatziki maison",,"13,00 €",,
plats,Burgers,Poulet,Suprême,"Poulet frit, écrasé d’avocat, oignon rouge, grana padano",,"13,50 €",,
plats,Burgers,Poisson,Marin,"Filet de cabillaud pané, gouda, roquette, cornichons, tomates, salade, sauce tartare maison",,"11,00 €",,
plats,Burgers,Pour les enfants,Steak 90g,Servi avec salade verte,,"8,00 €",,
plats,Burgers,Pour les enfants,Burger Pitchoun,"Steak 90g, cheddar, ketchup, salade",,"11,00 €",,
plats,Burgers,Pour les enfants,Milanaise 90g,Servie avec salade verte,,"8,50 €",,
plats,Burgers,Pour les enfants,Fish n’Chips 90g,"Sauce au choix, Servi avec salade verte",,"9,50 €",,
plats,Burgers,Pour les enfants,Spaghetti ou Radiatori,"Sauce bolognaise maison ou pesto ou accompagnement du jour, avec parmesan ou emmental",,"7,50 €",,
plats,Tartines,Chaud,Poulet,"Poulet, emmental, champignons, crème fraîche, tomates séchées",,"10,50 €",,
plats,Tartines,Chaud,Jambon,"Jambon Bodega 24 mois, mozzarella, champignons, sauce tomate maison",,"10,50 €",,
plats,Tartines,Chaud,Montagnarde,"Lardons, pommes de terre, crème fraîche, reblochon, oignons",,"10,50 €",,
plats,Tartines,Chaud,Mexicaine,"Viande hachée, mozzarella, poivrons, oignons, sauce tomate maison",,"11,00 €",,
plats,Tartines,Chaud,Moussaka,"Viande hachée, mozzarella, aubergines, poivrons, oignons, sauce tomate maison",,"11,50 €",,
plats,Tartines,Froid,Norvégienne,"Saumon, noix, fromage frais, crème fraîche, curry, roquette, tomates cerises, ciboulette",,"11,00 €",,
plats,Tartines,Froid,Ibérique,"Crème de chorizo, olive verte et noire, roquette, ciboulette, tomates cerises, piment d’Espelette",,"11,50 €",,
plats,Tartines,Froid,Rio,"Poulet, mangue, crème fraîche, tomate cerise, ciboulette",,"11,50 €",,
plats,Tartines,Froid,Capra,"Jambon Bodega 24 mois, chèvre, miel, roquette, tomates cerises",,"11,50 €",,
plats,Tartines,Froid,Thon,"Thon, avocats, olives, oignons nouveaux, persil, concombres, tomates cerises, mayo, ciboulette",,"12,00 €",,
plats,Tartines,Végan Froid,Avocado,"Olives, écrasé d’avocats, tomates cerises",,"10,50 €",,
plats,Tartines,Végan Froid,Levantine,"Houmous maison, aubergines, olives, roquette, tomates séchées",,"10,50 €",,
plats,Tartines,Végétarien Chaud,Chèvre,"Chèvre, noix, miel, menthe",,"9,90 €",,
plats,Tartines,Végétarien Chaud,Méditerranée,"Aubergines, mozzarella, parmesan, tomates séchées",,"10,50 €",,
plats,Tartines,Végétarien Chaud,Italia,"Pesto, mozzarella, champignons, parmesan, tomates",,"10,50 €",,
plats,Plat du Jour,,Plat du jour,,,"13,00 €",,
plats,Plat du Jour,,Plat + Dessert du Jour,,,"17,50 €",,
plats,Plat du Jour,,Plat + Dessert + Verre de Vin + Café,,,"19,00 €",,
plats,plats,,Steak Haché 125g,Sauce au choix,,"9,90 €",,
plats,plats,,Tartare Classique,"Bœuf haché au couteau, persil, oignons, câpres, cornichons, sauce Worcestershire, Tabasco",,"16,50 €",,
plats,plats,,Tartare Romain,"Bœuf haché au couteau, parmesan, tomates séchées, pignons, basilic, câpres, pesto",,"17,50 €",,
plats,plats,,Onglet 140g,Sauce au choix,,"17,50 €",,
plats,plats,,Bavette 180g,Sauce au choix,,"17,50 €",,
plats,plats,,Entrecôte Française 200g,Sauce au choix,,"19,00 €",,
plats,plats,,Faux-Filet 240g,Sauce au choix,,"20,00 €",,
plats,plats,,Escalope Milanaise 130g,Sauce tartare maison,,"15,00 €",,
plats,plats,,Poulet Tendresse 130g,"Poulet frit, Sauce tomate épicée maison",,"15,00 €",,
plats,plats,,Fish n’Chips 130g,Sauce tartare maison,,"14,00 €",,
plats,plats,,Spaghetti ou Radiatori,"Sauce bolognaise maison ou pesto ou accompagnement du jour, avec parmesan ou emmental",,"9,90 €",,
plats,Desserts maison,,Cookie du Jour,,,"2,50 €",,
plats,Desserts maison,,Muffin du Jour,,,"4,00 €",,
plats,Desserts maison,,Fondant au Chocolat,"Supplément glace vanille bio +2,50€",,"5,00 €",,
plats,Desserts maison,,Crumble,"Supplément glace vanille bio +2,50€",,"6,00 €",,
plats,Desserts maison,,Mousse au Chocolat,,,"6,00 €",,
plats,Desserts maison,,Panna Cotta,"Coulis caramel, chocolat, fruits rouges ou mangue",,"6,00 €",,
plats,Desserts maison,,Dessert du Jour,"Seulement le midi, demandez au serveur",,"6,00 €",,
plats,Desserts maison,,Crème Brûlée,,,"6,50 €",,
plats,Desserts maison,,Cheesecake,"Coulis caramel, chocolat, fruits rouges ou mangue",,"6,50 €",,
plats,Desserts maison,,Tiramisu,Au speculoos et café,,"7,00 €",,
plats,Desserts maison,,Café Gourmand,4 petits desserts maison et un mini cookie,,"7,50 €",,
plats,Desserts maison,,Thé Gourmand,4 petits desserts maison et un mini cookie,,"8,50 €",,
plats,Desserts maison,,Digestif Gourmand,"4 petits desserts maison et un mini cookie, Parmi: Cointreau, Menthe Pastille, Armagnac, Peppermint, Cognac aux Amandes, Cognac VS, Poire, Bailey’s, Calvados Closville",,"9,50 €",,
plats,Desserts maison,,Planche 3 Fromages,"Comté, Camembert et Laïous",,"7,50 €",,
plats,Desserts glacés,,Coupe de glace (bio) – 1 boule,"Vanille, fraise, chocolat au lait, mangue, melon/menthe, 3C: caramel/chocolat/cacahuète, Suppléments chantilly, amandes, coulis +0,50€",,"3,00 €",,
plats,Desserts glacés,,Coupe de glace (bio) – 2 boules,"Vanille, fraise, chocolat au lait, mangue, melon/menthe, 3C: caramel/chocolat/cacahuète, Suppléments chantilly, amandes, coulis +0,50€",,"6,00 €",,
plats,Desserts glacés,,Café Glacé,"Boule vanille et chocolat, café, amandes, chantilly",,"7,50 €",,
